id;name;base_type;memory
1;hard drive Robust Networked;Poland;Small partnerships
2;Outdoors;Harbor Montana;Corporate Phased relationships
3;white Brand Money Market Account;Salad Web virtual;Refined Squares
4;maroon;EXE projection Fresh;support Gorgeous
5;withdrawal;copying;ability Hat Iraq
6;magenta Concrete;User-centric Gloves;Mauritania
7;facilitate Tasty Concrete Chips Exclusive;Buckinghamshire capability zero tolerance;mission-critical
8;Berkshire Small Plastic Pants Investor;Canadian Dollar;Berkshire Designer
9;Credit Card Account;navigate;Re-contextualized
10;web-enabled invoice withdrawal;bypassing optical;installation
